SaleID,price
200000,1195
200001,2000
200002,8908
200003,1105
200004,2028
200005,1205
200006,354
200007,3340
200008,11848
200009,606
200010,616
200011,2544
200012,5739
200013,7408
200014,1442
200015,259
200016,1618
200017,8229
200018,6663
200019,859
200020,23192
200021,7727
200022,1924
200023,1444
200024,920
200025,7807
200026,519
200027,12384
200028,4192
200029,7704
200030,18191
200031,13621
200032,615
200033,12514
200034,937
200035,2040
200036,14371
200037,5846
200038,1560
200039,343
200040,594
200041,26236
200042,443
200043,8040
200044,18894
200045,525
200046,16613
200047,17880
200048,2424
200049,3538
200050,794
200051,4462
200052,2670
200053,496
200054,12570
200055,10263
200056,4980
200057,3263
200058,910
200059,5213
200060,7985
200061,1254
200062,5682
200063,8411
200064,1330
200065,1754
200066,491
200067,10055
200068,201
200069,17848
200070,9399
200071,287
200072,6477
200073,19610
200074,4168
200075,13779
200076,2941
200077,327
200078,357
200079,3105
200080,3141
200081,2115
200082,4201
200083,455
200084,1224
200085,1494
200086,7028
200087,3352
200088,2822
200089,51501
200090,2969
200091,188
200092,1474
200093,16621
200094,6779
200095,6001
200096,2550
200097,1222
200098,409
200099,19237
200100,21077
200101,7041
200102,1830
200103,10950
200104,5565
200105,3978
200106,8240
200107,2394
200108,14906
200109,7762
200110,565
200111,1935
200112,1786
200113,730
200114,2451
200115,1345
200116,13225
200117,16974
200118,56291
200119,218
200120,3185
200121,2502
200122,687
200123,2686
200124,55062
200125,553
200126,3338
200127,15727
200128,1711
200129,6076
200130,3620
200131,2731
200132,1381
200133,2936
200134,1294
200135,3347
200136,3836
200137,656
200138,9584
200139,6534
200140,2568
200141,1591
200142,6878
200143,6657
200144,1391
200145,6279
200146,2768
200147,4492
200148,2835
200149,198
200150,10250
200151,5020
200152,649
200153,508
200154,7368
200155,2463
200156,16539
200157,8660
200158,9999
200159,3412
200160,6446
200161,7588
200162,6602
200163,986
200164,16431
200165,15639
200166,23913
200167,3665
200168,40760
200169,734
200170,2791
200171,8925
200172,2138
200173,32492
200174,1338
200175,2293
200176,8389
200177,5981
200178,5065
200179,3628
200180,870
200181,18004
200182,4286
200183,1450
200184,2132
200185,4337
200186,3543
200187,6060
200188,11013
200189,11375
200190,3443
200191,3043
200192,1129
200193,4241
200194,7094
200195,2353
200196,925
200197,23575
200198,1300
200199,4590
200200,506
200201,7938
200202,2079
200203,1545
200204,8152
200205,5669
200206,809
200207,5343
200208,5115
200209,895
200210,13604
200211,5419
200212,7637
200213,8924
200214,19605
200215,6746
200216,3386
200217,1165
200218,10437
200219,1245
200220,2608
200221,7735
200222,2255
200223,714
200224,12835
200225,4608
200226,1129
200227,8397
200228,215
200229,7089
200230,9255
200231,4792
200232,957
200233,7172
200234,401
200235,8135
200236,13438
200237,6652
200238,7159
200239,8491
200240,23602
200241,10690
200242,4300
200243,2789
200244,6773
200245,3880
200246,4358
200247,838
200248,257
200249,9965
200250,30854
200251,10342
200252,764
200253,10254
200254,10976
200255,6873
200256,2680
200257,8982
200258,3239
200259,8024
200260,1457
200261,4303
200262,2382
200263,9122
200264,6858
200265,5402
200266,1297
200267,14829
200268,7835
200269,3749
200270,8434
200271,2444
200272,2937
200273,16067
200274,439
200275,14268
200276,2222
200277,2999
200278,1402
200279,8108
200280,2989
200281,759
200282,14033
200283,6049
200284,379
200285,4995
200286,3516
200287,12240
200288,12232
200289,3079
200290,6442
200291,8327
200292,2113
200293,9392
200294,6110
200295,1827
200296,2881
200297,7212
200298,1439
200299,5216
200300,5117
200301,5448
200302,1481
200303,6124
200304,1574
200305,4087
200306,1675
200307,15018
200308,1387
200309,1144
200310,1101
200311,1348
200312,11853
200313,1870
200314,4154
200315,978
200316,40376
200317,2350
200318,417
200319,10327
200320,3177
200321,30805
200322,19454
200323,1717
200324,24607
200325,5824
200326,2358
200327,25102
200328,496
200329,7997
200330,2169
200331,1506
200332,12673
200333,1244
200334,495
200335,1562
200336,1560
200337,1066
200338,1992
200339,13761
200340,26478
200341,2774
200342,6426
200343,1680
200344,5573
200345,6738
200346,1196
200347,10946
200348,9278
200349,761
200350,11376
200351,2195
200352,746
200353,1886
200354,3287
200355,475
200356,4650
200357,2308
200358,3064
200359,9234
200360,15652
200361,2010
200362,2075
200363,1338
200364,7186
200365,9480
200366,995
200367,7093
200368,6472
200369,5545
200370,1062
200371,10603
200372,922
200373,1201
200374,1170
200375,1124
200376,2631
200377,1914
200378,1296
200379,1949
200380,732
200381,3930
200382,33643
200383,2071
200384,2946
200385,779
200386,1076
200387,3859
200388,7333
200389,8434
200390,370
200391,3018
200392,1123
200393,3017
200394,3794
200395,128
200396,2519
200397,978
200398,2076
200399,859
200400,2140
200401,4751
200402,1649
200403,3621
200404,629
200405,712
200406,2485
200407,1499
200408,6686
200409,11755
200410,8011
200411,1491
200412,21545
200413,11296
200414,4524
200415,9192
200416,8228
200417,1727
200418,950
200419,18475
200420,18704
200421,1378
200422,1499
200423,1160
200424,53718
200425,8655
200426,3939
200427,19604
200428,1288
200429,4435
200430,3725
200431,2777
200432,3930
200433,15318
200434,661
200435,5029
200436,9751
200437,807
200438,194
200439,1179
200440,1563
200441,1311
200442,1332
200443,5538
200444,1390
200445,3031
200446,4180
200447,7159
200448,13932
200449,1189
200450,2826
200451,1037
200452,3934
200453,3226
200454,803
200455,7987
200456,1225
200457,1253
200458,760
200459,3971
200460,3022
200461,4069
200462,5555
200463,8009
200464,1395
200465,9787
200466,2227
200467,2879
200468,2051
200469,191
200470,9886
200471,374
200472,8549
200473,47644
200474,1670
200475,4106
200476,13706
200477,5152
200478,5168
200479,1079
200480,6063
200481,1604
200482,1525
200483,2587
200484,2724
200485,4824
200486,5344
200487,9192
200488,1029
200489,5884
200490,9275
200491,8206
200492,20828
200493,86
200494,2483
200495,5616
200496,370
200497,558
200498,17759
200499,736
200500,5811
200501,4090
200502,1746
200503,364
200504,2637
200505,5808
200506,138
200507,3084
200508,2012
200509,1176
200510,8716
200511,10066
200512,24983
200513,14404
200514,12189
200515,692
200516,20651
200517,8750
200518,2319
200519,13647
200520,1470
200521,21970
200522,152
200523,4108
200524,8361
200525,479
200526,402
200527,3533
200528,3729
200529,619
200530,7529
200531,13908
200532,1060
200533,19080
200534,1227
200535,229
200536,992
200537,911
200538,3207
200539,6902
200540,3406
200541,2662
200542,2534
200543,3822
200544,513
200545,4600
200546,6514
200547,4507
200548,4373
200549,20173
200550,14727
200551,461
200552,11030
200553,251
200554,12013
200555,1625
200556,4073
200557,10721
200558,6075
200559,1250
200560,2667
200561,4154
200562,19803
200563,6109
200564,10541
200565,26713
200566,9008
200567,1875
200568,8358
200569,160
200570,2018
200571,3629
200572,10997
200573,17089
200574,998
200575,1443
200576,985
200577,842
200578,21443
200579,194
200580,5434
200581,1646
200582,6490
200583,975
200584,17959
200585,7319
200586,5053
200587,1391
200588,3948
200589,2511
200590,264
200591,11385
200592,4019
200593,9839
200594,9382
200595,526
200596,4681
200597,22224
200598,12001
200599,3807
200600,7344
200601,8772
200602,9904
200603,31499
200604,10007
200605,1378
200606,4420
200607,8394
200608,9169
200609,629
200610,7834
200611,12288
200612,9837
200613,1094
200614,616
200615,836
200616,2851
200617,1868
200618,3840
200619,240
200620,2731
200621,10895
200622,4712
200623,19796
200624,890
200625,528
200626,3101
200627,9202
200628,5057
200629,7343
200630,1898
200631,12093
200632,1653
200633,4821
200634,2306
200635,4729
200636,18246
200637,17903
200638,1459
200639,1948
200640,1041
200641,2703
200642,890
200643,6882
200644,22106
200645,2458
200646,7002
200647,8887
200648,110
200649,5633
200650,5345
200651,4918
200652,507
200653,6347
200654,2785
200655,13432
200656,1642
200657,4892
200658,7454
200659,3165
200660,6723
200661,8992
200662,2171
200663,1435
200664,1881
200665,5388
200666,2043
200667,11144
200668,20168
200669,1593
200670,9143
200671,1298
200672,885
200673,13808
200674,5226
200675,6236
200676,4781
200677,8678
200678,2283
200679,2167
200680,6880
200681,2832
200682,3025
200683,66
200684,353
200685,826
200686,3860
200687,3205
200688,741
200689,11001
200690,1796
200691,5897
200692,3758
200693,6878
200694,284
200695,372
200696,6627
200697,3788
200698,28701
200699,530
200700,1791
200701,7492
200702,821
200703,7919
200704,712
200705,1183
200706,3789
200707,2122
200708,800
200709,2054
200710,642
200711,5269
200712,12291
200713,10936
200714,1204
200715,33916
200716,1512
200717,1376
200718,5632
200719,3214
200720,2712
200721,1825
200722,2322
200723,4015
200724,933
200725,1966
200726,302
200727,225
200728,4018
200729,3574
200730,1554
200731,4729
200732,943
200733,6748
200734,2264
200735,1095
200736,17006
200737,8105
200738,2090
200739,456
200740,7008
200741,2195
200742,6780
200743,7447
200744,2350
200745,3894
200746,1290
200747,1303
200748,35751
200749,740
200750,14291
200751,6200
200752,3046
200753,3753
200754,2482
200755,2998
200756,4373
200757,3333
200758,2474
200759,1284
200760,16772
200761,2819
200762,2509
200763,2643
200764,734
200765,13913
200766,719
200767,1138
200768,960
200769,13679
200770,307
200771,4273
200772,2471
200773,5386
200774,13436
200775,2932
200776,2703
200777,4012
200778,1660
200779,4013
200780,805
200781,5556
200782,726
200783,41670
200784,1181
200785,1599
200786,4909
200787,3537
200788,7960
200789,734
200790,3724
200791,4429
200792,3326
200793,3856
200794,20091
200795,3689
200796,167
200797,4351
200798,5502
200799,22089
200800,2108
200801,404
200802,200
200803,2081
200804,3666
200805,8453
200806,5807
200807,489
200808,3255
200809,1364
200810,3017
200811,683
200812,4239
200813,21289
200814,1100
200815,1157
200816,10726
200817,1026
200818,6240
200819,5755
200820,749
200821,3775
200822,6667
200823,3530
200824,720
200825,12132
200826,1618
200827,2327
200828,10499
200829,12489
200830,8083
200831,4160
200832,7037
200833,908
200834,1528
200835,1593
200836,2129
200837,3711
200838,1519
200839,5679
200840,4004
200841,7100
200842,3242
200843,3482
200844,7937
200845,624
200846,5480
200847,3068
200848,969
200849,13858
200850,1222
200851,9275
200852,1574
200853,6525
200854,13282
200855,3118
200856,4288
200857,980
200858,19300
200859,1661
200860,7375
200861,1861
200862,13280
200863,2746
200864,890
200865,28043
200866,7443
200867,5068
200868,2449
200869,756
200870,12991
200871,1957
200872,10150
200873,849
200874,1133
200875,3139
200876,5267
200877,3223
200878,8537
200879,512
200880,262
200881,463
200882,9292
200883,7157
200884,1519
200885,2404
200886,7363
200887,1401
200888,1095
200889,2526
200890,1774
200891,815
200892,5722
200893,1544
200894,1015
200895,6686
200896,3573
200897,1833
200898,13537
200899,4107
200900,6547
200901,2928
200902,16775
200903,380
200904,820
200905,1918
200906,9474
200907,1273
200908,645
200909,224
200910,1592
200911,784
200912,3795
200913,4796
200914,5154
200915,2982
200916,1657
200917,14810
200918,747
200919,4348
200920,1245
200921,5980
200922,700
200923,15050
200924,1165
200925,8514
200926,834
200927,318
200928,4633
200929,953
200930,12275
200931,2122
200932,1051
200933,17440
200934,6538
200935,2105
200936,5771
200937,29033
200938,12024
200939,3683
200940,2822
200941,333
200942,984
200943,2114
200944,19107
200945,1831
200946,1257
200947,866
200948,7950
200949,18432
200950,5342
200951,8251
200952,13018
200953,1961
200954,1233
200955,18451
200956,4884
200957,3034
200958,1408
200959,1035
200960,3470
200961,5049
200962,8935
200963,1211
200964,2419
200965,6142
200966,2503
200967,4441
200968,3824
200969,3594
200970,13470
200971,1182
200972,4196
200973,11367
200974,16238
200975,2985
200976,31346
200977,12911
200978,2472
200979,674
200980,10080
200981,1759
200982,6269
200983,876
200984,699
200985,25845
200986,13588
200987,1034
200988,293
200989,1368
200990,816
200991,1185
200992,2640
200993,354
200994,3006
200995,1942
200996,5424
200997,171
200998,1463
200999,9046
201000,4465
201001,8138
201002,19013
201003,14700
201004,399
201005,629
201006,5803
201007,1710
201008,6183
201009,3137
201010,8272
201011,12279
201012,3748
201013,10228
201014,2569
201015,5836
201016,1357
201017,3082
201018,2483
201019,12487
201020,7346
201021,2018
201022,7710
201023,32264
201024,6303
201025,2596
201026,5107
201027,3854
201028,3799
201029,1544
201030,6534
201031,15995
201032,690
201033,8879
201034,222
201035,4862
201036,1074
201037,1590
201038,1354
201039,4033
201040,1473
201041,298
201042,3555
201043,924
201044,6167
201045,3939
201046,2500
201047,805
201048,6673
201049,684
201050,6405
201051,1335
201052,4359
201053,737
201054,2823
201055,3791
201056,2960
201057,2085
201058,9067
201059,10164
201060,670
201061,10065
201062,2944
201063,23943
201064,2246
201065,703
201066,1170
201067,17464
201068,13020
201069,2447
201070,25333
201071,509
201072,2760
201073,2485
201074,20918
201075,3562
201076,1640
201077,7014
201078,1877
201079,10239
201080,2942
201081,17729
201082,5615
201083,1037
201084,914
201085,1412
201086,9643
201087,1488
201088,7008
201089,10683
201090,7572
201091,588
201092,6887
201093,1534
201094,5823
201095,2038
201096,2834
201097,400
201098,4921
201099,500
201100,1808
201101,8148
201102,2631
201103,3078
201104,2419
201105,5736
201106,702
201107,985
201108,1975
201109,7123
201110,2826
201111,3769
201112,10876
201113,6964
201114,4879
201115,23299
201116,816
201117,1072
201118,1500
201119,4853
201120,3383
201121,2819
201122,8239
201123,5778
201124,12526
201125,1777
201126,289
201127,11001
201128,6940
201129,21490
201130,3480
201131,2726
201132,4827
201133,1286
201134,7457
201135,2389
201136,5338
201137,609
201138,510
201139,5424
201140,11611
201141,581
201142,1888
201143,8202
201144,2467
201145,7388
201146,3256
201147,3242
201148,2206
201149,764
201150,3606
201151,13916
201152,1420
201153,1741
201154,6623
201155,4358
201156,1475
201157,1032
201158,1333
201159,1556
201160,668
201161,2833
201162,728
201163,8023
201164,1784
201165,1384
201166,3375
201167,798
201168,849
201169,2259
201170,12399
201171,7043
201172,13121
201173,15172
201174,510
201175,1046
201176,1802
201177,1728
201178,3689
201179,879
201180,2282
201181,14609
201182,619
201183,2557
201184,2462
201185,2399
201186,755
201187,13519
201188,3601
201189,31245
201190,2377
201191,10881
201192,4090
201193,990
201194,465
201195,4196
201196,8934
201197,5385
201198,4756
201199,1025
201200,4938
201201,168
201202,20012
201203,1261
201204,3037
201205,2020
201206,2804
201207,3609
201208,10430
201209,510
201210,6301
201211,202
201212,20279
201213,7140
201214,19161
201215,1358
201216,1606
201217,146
201218,1799
201219,674
201220,2749
201221,3275
201222,2854
201223,9358
201224,13542
201225,4491
201226,1039
201227,3257
201228,2099
201229,12977
201230,3086
201231,5330
201232,16630
201233,4960
201234,27770
201235,20857
201236,2941
201237,14523
201238,1294
201239,9869
201240,1098
201241,7744
201242,1331
201243,2346
201244,8225
201245,3894
201246,696
201247,21938
201248,517
201249,7092
201250,3864
201251,5302
201252,1347
201253,6841
201254,8916
201255,8986
201256,28549
201257,1148
201258,9219
201259,2907
201260,39637
201261,4863
201262,782
201263,5803
201264,16143
201265,901
201266,177
201267,552
201268,1796
201269,7162
201270,1578
201271,6396
201272,7218
201273,489
201274,1489
201275,6598
201276,3292
201277,1027
201278,12067
201279,5110
201280,3730
201281,1143
201282,2751
201283,1545
201284,2910
201285,1533
201286,1613
201287,482
201288,1579
201289,503
201290,2327
201291,6148
201292,4028
201293,3592
201294,1406
201295,4590
201296,2785
201297,2178
201298,593
201299,984
201300,22107
201301,4025
201302,13877
201303,2665
201304,9075
201305,4556
201306,8337
201307,1157
201308,6174
201309,2875
201310,13143
201311,5173
201312,30415
201313,31662
201314,3023
201315,1181
201316,2841
201317,5500
201318,8612
201319,1946
201320,4393
201321,780
201322,9528
201323,5713
201324,5955
201325,9410
201326,11685
201327,1507
201328,5765
201329,830
201330,18382
201331,3556
201332,8366
201333,14425
201334,1772
201335,16353
201336,556
201337,9413
201338,5352
201339,2477
201340,12858
201341,9648
201342,43316
201343,4726
201344,7570
201345,27653
201346,15229
201347,688
201348,583
201349,6759
201350,3769
201351,2998
201352,513
201353,740
201354,7745
201355,11848
201356,12085
201357,7738
201358,4017
201359,5344
201360,1839
201361,9245
201362,9964
201363,10621
201364,7977
201365,8901
201366,12678
201367,18183
201368,2450
201369,5538
201370,14523
201371,3218
201372,26045
201373,1456
201374,8838
201375,1279
201376,630
201377,6491
201378,2687
201379,14686
201380,1036
201381,2266
201382,15782
201383,2859
201384,488
201385,7582
201386,3988
201387,7388
201388,10524
201389,3066
201390,34042
201391,1186
201392,1992
201393,2011
201394,7985
201395,16255
201396,8513
201397,9808
201398,6207
201399,2385
201400,1158
201401,3288
201402,3297
201403,12795
201404,3489
201405,1890
201406,28767
201407,22041
201408,8554
201409,10741
201410,837
201411,2079
201412,6080
201413,18733
201414,6921
201415,1623
201416,1480
201417,1029
201418,1322
201419,14405
201420,17261
201421,10905
201422,1027
201423,7930
201424,10976
201425,879
201426,1056
201427,3500
201428,4424
201429,1896
201430,11510
201431,10654
201432,841
201433,2069
201434,464
201435,3583
201436,3804
201437,5704
201438,1706
201439,6014
201440,5695
201441,17041
201442,4103
201443,7841
201444,563
201445,238
201446,2335
201447,7064
201448,2700
201449,16033
201450,534
201451,720
201452,8118
201453,1068
201454,2992
201455,3765
201456,4173
201457,2715
201458,1145
201459,4670
201460,1437
201461,3535
201462,6744
201463,5260
201464,4121
201465,12538
201466,874
201467,2671
201468,7169
201469,2419
201470,5973
201471,929
201472,458
201473,14538
201474,1192
201475,1745
201476,1599
201477,5065
201478,2722
201479,2881
201480,1300
201481,11661
201482,40939
201483,9515
201484,1293
201485,11978
201486,5154
201487,1090
201488,14009
201489,3279
201490,20657
201491,1143
201492,2054
201493,5814
201494,1137
201495,452
201496,1856
201497,20193
201498,6392
201499,1213
201500,12222
201501,29145
201502,11013
201503,1597
201504,10659
201505,905
201506,15870
201507,6815
201508,779
201509,5784
201510,561
201511,2762
201512,1803
201513,1675
201514,790
201515,3883
201516,881
201517,3991
201518,3512
201519,1931
201520,4407
201521,1347
201522,43062
201523,8063
201524,1878
201525,7513
201526,9320
201527,409
201528,6986
201529,2592
201530,16332
201531,19357
201532,4684
201533,13582
201534,6578
201535,18686
201536,1530
201537,920
201538,619
201539,926
201540,26247
201541,667
201542,193
201543,18596
201544,214
201545,2470
201546,7823
201547,10502
201548,3171
201549,3875
201550,4203
201551,5662
201552,4484
201553,10008
201554,3218
201555,8197
201556,2740
201557,3747
201558,9405
201559,6009
201560,528
201561,766
201562,7494
201563,1469
201564,962
201565,1986
201566,17219
201567,660
201568,650
201569,189
201570,3444
201571,582
201572,986
201573,1617
201574,403
201575,8607
201576,495
201577,9014
201578,6349
201579,6735
201580,1109
201581,1121
201582,1352
201583,3232
201584,1933
201585,2646
201586,353
201587,1360
201588,703
201589,865
201590,275
201591,902
201592,23765
201593,988
201594,1064
201595,8806
201596,1535
201597,5221
201598,493
201599,3438
201600,3747
201601,1532
201602,2083
201603,8761
201604,528
201605,4048
201606,4265
201607,108
201608,8775
201609,3668
201610,14180
201611,15824
201612,25653
201613,8421
201614,4375
201615,3096
201616,8030
201617,2029
201618,1557
201619,1693
201620,2466
201621,3250
201622,695
201623,2826
201624,2107
201625,2464
201626,7833
201627,12555
201628,7315
201629,27589
201630,6857
201631,8536
201632,1067
201633,3686
201634,10422
201635,9184
201636,8981
201637,8979
201638,4331
201639,1065
201640,2137
201641,12501
201642,11564
201643,388
201644,2938
201645,712
201646,11321
201647,2649
201648,258
201649,3585
201650,13109
201651,8334
201652,13229
201653,40921
201654,15258
201655,3699
201656,4220
201657,14926
201658,951
201659,4026
201660,10062
201661,5451
201662,2843
201663,1059
201664,2773
201665,736
201666,3222
201667,3776
201668,682
201669,1000
201670,6992
201671,1360
201672,256
201673,5250
201674,497
201675,34090
201676,1312
201677,7509
201678,5599
201679,2345
201680,5100
201681,308
201682,4578
201683,1953
201684,1493
201685,516
201686,12670
201687,3455
201688,3208
201689,24694
201690,7842
201691,2055
201692,7294
201693,1970
201694,9415
201695,4588
201696,17816
201697,736
201698,4401
201699,411
201700,4513
201701,11187
201702,7494
201703,14866
201704,5045
201705,1801
201706,1910
201707,25976
201708,1601
201709,2488
201710,11426
201711,1291
201712,8097
201713,2964
201714,20706
201715,6677
201716,936
201717,12739
201718,40003
201719,1857
201720,10346
201721,2329
201722,6680
201723,764
201724,1189
201725,1471
201726,16566
201727,1125
201728,513
201729,1652
201730,1035
201731,12075
201732,3919
201733,14723
201734,928
201735,2155
201736,8869
201737,20899
201738,4016
201739,1529
201740,485
201741,176
201742,692
201743,1124
201744,1140
201745,1440
201746,1137
201747,4408
201748,3306
201749,11841
201750,1746
201751,8164
201752,4531
201753,1251
201754,10588
201755,15968
201756,5934
201757,2895
201758,2508
201759,1782
201760,1083
201761,18535
201762,4967
201763,1165
201764,3354
201765,6971
201766,1709
201767,1024
201768,21227
201769,1634
201770,21784
201771,2469
201772,1394
201773,11005
201774,1224
201775,17585
201776,1022
201777,668
201778,2012
201779,3354
201780,23557
201781,3646
201782,796
201783,3792
201784,667
201785,9307
201786,855
201787,6280
201788,1518
201789,1875
201790,4111
201791,1398
201792,2489
201793,1443
201794,422
201795,5965
201796,1160
201797,25143
201798,1415
201799,9127
201800,971
201801,844
201802,519
201803,3229
201804,6172
201805,4452
201806,2378
201807,4075
201808,3971
201809,218
201810,4649
201811,13633
201812,2456
201813,2930
201814,7178
201815,1363
201816,4335
201817,3092
201818,13417
201819,42535
201820,10091
201821,1410
201822,999
201823,22611
201824,3401
201825,6591
201826,1331
201827,2750
201828,4809
201829,30865
201830,1258
201831,3166
201832,1806
201833,801
201834,8103
201835,4970
201836,11786
201837,17681
201838,4982
201839,812
201840,33679
201841,7125
201842,6296
201843,10730
201844,21548
201845,2190
201846,22967
201847,2860
201848,1454
201849,2858
201850,1261
201851,2638
201852,1619
201853,9865
201854,596
201855,4688
201856,15063
201857,12605
201858,11022
201859,508
201860,1519
201861,6013
201862,6348
201863,495
201864,6533
201865,4847
201866,755
201867,1119
201868,7414
201869,4799
201870,8564
201871,17353
201872,4460
201873,27685
201874,571
201875,2403
201876,4551
201877,2498
201878,9004
201879,3315
201880,505
201881,2945
201882,5143
201883,1039
201884,6020
201885,47421
201886,800
201887,3783
201888,7392
201889,3033
201890,4207
201891,1938
201892,1251
201893,18599
201894,3565
201895,7574
201896,10255
201897,1423
201898,10543
201899,360
201900,623
201901,487
201902,876
201903,8906
201904,362
201905,1065
201906,10088
201907,544
201908,936
201909,1762
201910,5709
201911,2885
201912,1615
201913,1149
201914,3805
201915,2321
201916,5038
201917,1172
201918,6243
201919,4067
201920,1179
201921,1077
201922,16454
201923,1405
201924,405
201925,6851
201926,624
201927,21780
201928,2497
201929,472
201930,265
201931,16171
201932,8588
201933,4601
201934,12148
201935,31158
201936,1665
201937,11739
201938,9833
201939,47194
201940,1565
201941,2905
201942,7868
201943,953
201944,1896
201945,6742
201946,1203
201947,21504
201948,3180
201949,743
201950,4493
201951,1520
201952,1713
201953,6253
201954,13904
201955,7779
201956,1494
201957,1524
201958,896
201959,1390
201960,13987
201961,5693
201962,1701
201963,2330
201964,11539
201965,5373
201966,1962
201967,1916
201968,4018
201969,6661
201970,10935
201971,4458
201972,15610
201973,2343
201974,10706
201975,1925
201976,6146
201977,3742
201978,11296
201979,3221
201980,408
201981,17323
201982,8355
201983,8290
201984,3181
201985,484
201986,4110
201987,3650
201988,3021
201989,3478
201990,67032
201991,7468
201992,1656
201993,1956
201994,773
201995,1876
201996,4145
201997,19656
201998,1048
201999,824
202000,5128
202001,10142
202002,3856
202003,367
202004,4583
202005,3078
202006,203
202007,7199
202008,1987
202009,1585
202010,5616
202011,3337
202012,276
202013,7183
202014,11082
202015,7478
202016,11295
202017,1523
202018,931
202019,896
202020,1345
202021,6253
202022,796
202023,5015
202024,17282
202025,1792
202026,8701
202027,6709
202028,2032
202029,210
202030,3524
202031,7925
202032,526
202033,1997
202034,5152
202035,48220
202036,3300
202037,1964
202038,3221
202039,4346
202040,7458
202041,63600
202042,7731
202043,811
202044,6301
202045,1274
202046,3099
202047,2032
202048,694
202049,1736
202050,6812
202051,1660
202052,631
202053,3028
202054,993
202055,7147
202056,1544
202057,4142
202058,4125
202059,1001
202060,4702
202061,14817
202062,1277
202063,8907
202064,12628
202065,4359
202066,969
202067,2350
202068,833
202069,3357
202070,7183
202071,2370
202072,2582
202073,8300
202074,25567
202075,1963
202076,7531
202077,7219
202078,1957
202079,3010
202080,11588
202081,6989
202082,1675
202083,1214
202084,4951
202085,6763
202086,6635
202087,6369
202088,3478
202089,2648
202090,1933
202091,92
202092,1317
202093,555
202094,4272
202095,12507
202096,1636
202097,3807
202098,2223
202099,8248
202100,10053
202101,2047
202102,9840
202103,1755
202104,1266
202105,1277
202106,6995
202107,1695
202108,1387
202109,3374
202110,9038
202111,3287
202112,4890
202113,8947
202114,14540
202115,1004
202116,2059
202117,695
202118,6112
202119,699
202120,6188
202121,46429
202122,2250
202123,3641
202124,1343
202125,1068
202126,1954
202127,5785
202128,11709
202129,519
202130,2144
202131,4330
202132,10763
202133,1883
202134,9201
202135,13917
202136,4448
202137,4247
202138,13599
202139,3115
202140,1455
202141,1235
202142,474
202143,5079
202144,802
202145,3745
202146,1220
202147,1768
202148,107
202149,3311
202150,6925
202151,6104
202152,6319
202153,12528
202154,7091
202155,1566
202156,7325
202157,1101
202158,458
202159,13745
202160,5718
202161,17364
202162,9740
202163,995
202164,2928
202165,2941
202166,6352
202167,294
202168,11058
202169,2014
202170,6173
202171,18934
202172,680
202173,10326
202174,296
202175,7412
202176,321
202177,2153
202178,15107
202179,16160
202180,1357
202181,2805
202182,1527
202183,934
202184,749
202185,2436
202186,2552
202187,2037
202188,19610
202189,2155
202190,5167
202191,1931
202192,8193
202193,7399
202194,6268
202195,5713
202196,41874
202197,13329
202198,2399
202199,860
202200,41281
202201,897
202202,1776
202203,2568
202204,3571
202205,6934
202206,5403
202207,16652
202208,5297
202209,2853
202210,2291
202211,19934
202212,6786
202213,5878
202214,1216
202215,12371
202216,2186
202217,550
202218,15100
202219,832
202220,7924
202221,38246
202222,5428
202223,6960
202224,13686
202225,23933
202226,1975
202227,1418
202228,7621
202229,23768
202230,435
202231,5297
202232,2506
202233,1727
202234,4781
202235,1289
202236,2726
202237,1780
202238,4100
202239,4534
202240,1607
202241,297
202242,1599
202243,3805
202244,2542
202245,1334
202246,6214
202247,6822
202248,609
202249,625
202250,1558
202251,12566
202252,4283
202253,9255
202254,6032
202255,11506
202256,1259
202257,5681
202258,10199
202259,523
202260,13398
202261,7648
202262,3327
202263,1432
202264,405
202265,16215
202266,2225
202267,9295
202268,6710
202269,9541
202270,36598
202271,803
202272,3551
202273,610
202274,737
202275,4313
202276,2148
202277,8585
202278,916
202279,2555
202280,694
202281,954
202282,7316
202283,1206
202284,1630
202285,13814
202286,5202
202287,1363
202288,1259
202289,3134
202290,6059
202291,750
202292,246
202293,1674
202294,1860
202295,2823
202296,939
202297,6780
202298,452
202299,550
202300,15681
202301,2846
202302,3309
202303,1391
202304,8303
202305,5589
202306,6867
202307,395
202308,201
202309,5158
202310,17130
202311,5319
202312,7167
202313,1910
202314,646
202315,9101
202316,2889
202317,590
202318,18635
202319,842
202320,626
202321,4361
202322,19697
202323,4215
202324,3235
202325,15133
202326,1849
202327,16355
202328,11844
202329,355
202330,256
202331,37363
202332,33373
202333,6961
202334,649
202335,5395
202336,14303
202337,488
202338,1095
202339,3910
202340,655
202341,6061
202342,3035
202343,4016
202344,16295
202345,3378
202346,7514
202347,9549
202348,10404
202349,15883
202350,7421
202351,23943
202352,6965
202353,1954
202354,16850
202355,14564
202356,1058
202357,2103
202358,402
202359,2682
202360,17555
202361,3014
202362,2008
202363,2473
202364,1889
202365,20284
202366,1403
202367,10648
202368,281
202369,5778
202370,852
202371,3878
202372,4738
202373,581
202374,15544
202375,2302
202376,1965
202377,6825
202378,2501
202379,2281
202380,4260
202381,15346
202382,4956
202383,12336
202384,17536
202385,12375
202386,11742
202387,1137
202388,14523
202389,1135
202390,4543
202391,3460
202392,895
